Magazine,Month,Year,Special,Special,Custom
Playboy,Nov,1965,,undefined,undefined
Playboy,Jan,1975,,undefined,undefined
Playboy,Nov,1966,,undefined,undefined
Playboy,Jul,1965,,undefined,undefined
Playboy,Aug,1965,,undefined,undefined
Playboy,Apr,1964,,undefined,undefined
Playboy,Oct,1964,,undefined,undefined
Playboy,Dec,1964,,undefined,undefined
Playboy,Aug,1962,,undefined,undefined
Playboy,Dec,1965,,undefined,undefined
Playboy,Apr,1967,,undefined,undefined
Playboy,Feb,1967,,undefined,undefined
Playboy,Dec,1968,,undefined,undefined
Playboy,Jul,1968,,undefined,undefined
Playboy,May,1968,,undefined,undefined
Playboy,Dec,1969,,undefined,undefined
Playboy,Nov,1969,,undefined,undefined
Playboy,Oct,1969,,undefined,undefined
Playboy,Aug,1969,,undefined,undefined
Playboy,Apr,1969,,undefined,undefined
Playboy,March,1969,,undefined,undefined
Playboy,sept,1967,,undefined,undefined
Playboy,October,1967,,undefined,undefined
Playboy,August,1966,,undefined,undefined
Playboy,June,1966,,undefined,undefined
Playboy,December,1971,,undefined,undefined
Playboy,November,1971,,undefined,undefined
Playboy,April,1971,,undefined,undefined
Playboy,February,1971,,undefined,undefined
Playboy,January,1971,,undefined,undefined
Playboy,February,1970,,undefined,undefined
Playboy,July,1970,,undefined,undefined
Playboy,August,1970,,undefined,undefined
Playboy,October,1970,,undefined,undefined
Playboy,November,1970,,undefined,undefined
Playboy,January,1969,,undefined,undefined
Playboy,August,1967,,undefined,undefined
Playboy,June,1967,,undefined,undefined
Playboy,August,1972,,undefined,undefined
Playboy,July,1971,,undefined,undefined
Playboy,June,1972,,undefined,undefined
Playboy,December,1973,,undefined,undefined
Playboy,October,1973,,undefined,undefined
Playboy,sept,1973,,undefined,undefined
Playboy,August,1973,,undefined,undefined
Playboy,July,1973,,undefined,undefined
Playboy,June,1973,,undefined,undefined
Playboy,May,1973,,undefined,undefined
Playboy,December,1971,,undefined,undefined
Playboy,December,1974,,undefined,undefined
Playboy,November,1974,,undefined,undefined
Playboy,October,1974,,undefined,undefined
Playboy,seot,1974,,undefined,undefined
Playboy,August,1974,,undefined,undefined
Playboy,July,1974,,undefined,undefined
Playboy,June,1974,,undefined,undefined
Playboy,December,1972,,undefined,undefined
Playboy,April,1973,,undefined,undefined
Playboy,March,1973,,undefined,undefined
Playboy,October,1972,,undefined,undefined
Playboy,sept,1972,,undefined,undefined
Playboy,February,1974,,FALSE,undefined
Playboy,February,1975,,FALSE,undefined
Playboy,sept,1975,,FALSE,undefined
Playboy,August,1975,,FALSE,undefined
Playboy,July,1975,,FALSE,undefined
Playboy,May,1975,,FALSE,undefined
Playboy,April,1975,,FALSE,undefined
Playboy,January,1974,,FALSE,undefined
Playboy,June,1976,,FALSE,undefined
Playboy,July,1976,,FALSE,undefined
Playboy,April,1976,,FALSE,undefined
Playboy,March,1976,,FALSE,undefined
Playboy,February,1976,,FALSE,undefined
Playboy,January,1976,,FALSE,undefined
Playboy,November,1976,,FALSE,undefined
Playboy,October,1976,,FALSE,undefined
Playboy,August,1976,,FALSE,undefined
Playboy,April,1974,,FALSE,undefined
Playboy,March,1974,,FALSE,undefined
Playboy,April,1977,,FALSE,undefined
Playboy,May,1977,,FALSE,undefined
Playboy,June,1977,,FALSE,undefined
Playboy,July,1977,,FALSE,undefined
Playboy,September,1977,,FALSE,undefined
Playboy,October,1977,,FALSE,undefined
Playboy,November,1977,,FALSE,undefined
Playboy,December,1977,,FALSE,undefined
Playboy,July,1976,,FALSE,undefined
Playboy,sept,1979,,FALSE,undefined
Playboy,October,1979,,FALSE,undefined
Playboy,November,1979,,FALSE,undefined
Playboy,December,1979,,FALSE,undefined
Playboy,January,1978,,FALSE,undefined
Playboy,March,1978,,FALSE,undefined
Playboy,April,1978,,FALSE,undefined
Playboy,June,1978,,FALSE,undefined
Playboy,August,1978,,FALSE,undefined
Playboy,September,1978,,FALSE,undefined
Playboy,November,1978,,FALSE,undefined
Playboy,December,1978,Special,TRUE,undefined
Playboy,December,1978,,FALSE,undefined
Playboy,October,1980,,FALSE,undefined
Playboy,November,1980,,FALSE,undefined
Playboy,January,1979,,FALSE,undefined
Playboy,February,1979,,FALSE,undefined
Playboy,April,1979,,FALSE,undefined
Playboy,May,1979,,FALSE,undefined
Playboy,June,1979,,FALSE,undefined
Playboy,August,1979,,FALSE,undefined
Playboy,January,1984,,FALSE,undefined
Playboy,February,1984,,FALSE,undefined
Playboy,March,1984,,FALSE,undefined
Playboy,April,1984,,FALSE,undefined
Playboy,September,1984,,FALSE,undefined
Playboy,peb,1982,,FALSE,undefined
Playboy,June,1982,,FALSE,undefined
Playboy,May,1981,,FALSE,undefined
Playboy,August,1981,,FALSE,undefined
Playboy,November,1981,,FALSE,undefined
Playboy,December,1981,,FALSE,undefined
Playboy,August,1980,,FALSE,undefined
Playboy,January,1980,,FALSE,undefined
Playboy,December,2010,,FALSE,undefined
Playboy,March,2007,,FALSE,undefined
Playboy,January,2005,,FALSE,undefined
Playboy,November,2003,,FALSE,undefined
Playboy,December,1992,,FALSE,undefined
Playboy,March,2002,,FALSE,undefined
Playboy,March,1999,,FALSE,undefined
Playboy,December,1999,,FALSE,undefined
Playboy,December,1994,,FALSE,undefined
Playboy,July,1988,,FALSE,undefined
Playboy,January,1987,,FALSE,undefined
Playboy,December,1986,,FALSE,undefined
Playboy,January,1985,,FALSE,undefined
Penthouse,January,1976,,FALSE,undefined
Penthouse,January,1976,,FALSE,undefined
Penthouse,May,1976,,FALSE,undefined
Penthouse,February,1975,,FALSE,undefined
Penthouse,December,1975,,FALSE,undefined
