Magazine,Month_Full,Month_Abbr,Year,YearInput,Special,isSpecial,Created
"Playboy","Nov","undefined","1965","65","","undefined","2026-01-11T04:09:42.931Z"
"Playboy","Jan","undefined","1975","75","","undefined","2026-01-11T04:10:10.697Z"
"Playboy","Nov","undefined","1966","66","","undefined","2026-01-11T04:10:32.825Z"
"Playboy","Jul","undefined","1965","65","","undefined","2026-01-11T04:10:59.579Z"
"Playboy","Aug","undefined","1965","65","","undefined","2026-01-11T04:12:45.143Z"
"Playboy","Apr","undefined","1964","64","","undefined","2026-01-11T04:13:05.134Z"
"Playboy","Oct","undefined","1964","64","","undefined","2026-01-11T04:13:23.996Z"
"Playboy","Dec","undefined","1964","64","","undefined","2026-01-11T04:13:52.825Z"
"Playboy","Aug","undefined","1962","62","","undefined","2026-01-11T04:15:20.856Z"
"Playboy","Dec","undefined","1965","65","","undefined","2026-01-11T04:16:40.403Z"
"Playboy","Apr","undefined","1967","67","","undefined","2026-01-11T04:28:33.383Z"
"Playboy","Feb","undefined","1967","67","","undefined","2026-01-11T04:29:02.615Z"
"Playboy","Dec","undefined","1968","68","","undefined","2026-01-11T04:29:36.439Z"
"Playboy","Jul","undefined","1968","68","","undefined","2026-01-11T04:30:06.740Z"
"Playboy","May","undefined","1968","68","","undefined","2026-01-11T04:30:42.600Z"
"Playboy","Dec","undefined","1969","69","","undefined","2026-01-11T04:31:02.917Z"
"Playboy","Nov","undefined","1969","69","","undefined","2026-01-11T04:31:48.693Z"
"Playboy","Oct","undefined","1969","69","","undefined","2026-01-11T04:32:21.081Z"
"Playboy","Aug","undefined","1969","69","","undefined","2026-01-11T04:32:47.558Z"
"Playboy","Apr","undefined","1969","69","","undefined","2026-01-11T04:33:21.936Z"
"Playboy","March","mar","1969","69","","undefined","2026-01-11T04:38:32.496Z"
"Playboy","sept","sept","1967","67","","undefined","2026-01-11T04:39:08.559Z"
"Playboy","October","oct","1967","67","","undefined","2026-01-11T04:39:28.784Z"
"Playboy","August","aug","1966","66","","undefined","2026-01-11T04:39:45.594Z"
"Playboy","June","jun","1966","66","","undefined","2026-01-11T04:40:00.456Z"
"Playboy","December","dec","1971","71","","undefined","2026-01-11T04:50:36.153Z"
"Playboy","November","nov","1971","71","","undefined","2026-01-11T04:51:01.000Z"
"Playboy","April","apr","1971","71","","undefined","2026-01-11T04:51:12.712Z"
"Playboy","February","feb","1971","71","","undefined","2026-01-11T04:51:32.681Z"
"Playboy","January","jan","1971","71","","undefined","2026-01-11T04:53:18.264Z"
"Playboy","February","feb","1970","70","","undefined","2026-01-11T04:53:29.944Z"
"Playboy","July","jul","1970","70","","undefined","2026-01-11T04:53:53.369Z"
"Playboy","August","aug","1970","70","","undefined","2026-01-11T04:54:12.393Z"
"Playboy","October","oct","1970","70","","undefined","2026-01-11T04:54:37.321Z"
"Playboy","November","nov","1970","1970","","undefined","2026-01-11T04:54:53.033Z"
"Playboy","January","jan","1969","69","","undefined","2026-01-11T05:04:05.950Z"
"Playboy","August","aug","1967","67","","undefined","2026-01-11T05:05:55.808Z"
"Playboy","June","jun","1967","67","","undefined","2026-01-11T05:06:54.631Z"
"Playboy","August","aug","1972","72","","undefined","2026-01-11T05:13:28.698Z"
"Playboy","July","jul","1971","71","","undefined","2026-01-11T05:13:44.075Z"
"Playboy","June","jun","1972","72","","undefined","2026-01-11T05:14:21.405Z"
"Playboy","December","dec","1973","73","","undefined","2026-01-11T05:14:45.381Z"
"Playboy","October","oct","1973","73","","undefined","2026-01-11T05:15:04.577Z"
"Playboy","sept","sept","1973","73","","undefined","2026-01-11T05:15:29.801Z"
"Playboy","August","aug","1973","73","","undefined","2026-01-11T05:15:52.089Z"
"Playboy","July","jul","1973","73","","undefined","2026-01-11T05:16:11.602Z"
"Playboy","June","jun","1973","73","","undefined","2026-01-11T05:16:26.858Z"
"Playboy","May","may","1973","73","","undefined","2026-01-11T05:16:49.657Z"
"Playboy","December","dec","1971","71","","undefined","2026-01-11T05:17:31.275Z"
"Playboy","December","dec","1974","74","","undefined","2026-01-11T15:00:18.353Z"
"Playboy","November","nov","1974","74","","undefined","2026-01-11T15:01:02.026Z"
"Playboy","October","oct","1974","74","","undefined","2026-01-11T15:01:24.906Z"
"Playboy","seot","seot","1974","74","","undefined","2026-01-11T15:01:44.786Z"
"Playboy","August","aug","1974","74","","undefined","2026-01-11T15:02:06.049Z"
"Playboy","July","jul","1974","74","","undefined","2026-01-11T15:02:22.138Z"
"Playboy","June","jun","1974","74","","undefined","2026-01-11T15:03:04.842Z"
"Playboy","December","dec","1972","72","","undefined","2026-01-11T15:25:45.761Z"
"Playboy","April","apr","1973","73","","undefined","2026-01-11T15:27:43.921Z"
"Playboy","March","mar","1973","73","","undefined","2026-01-11T15:28:13.497Z"
"Playboy","October","oct","1972","72","","undefined","2026-01-11T15:28:45.529Z"
"Playboy","sept","sept","1972","72","","undefined","2026-01-11T15:29:05.937Z"
